NAME                           VERSION                                TYPE                       
python3-requests-gssapi        1.2.3-0ubuntu2                         deb                        
python3-requests-ntlm          1.3.0-1                                deb                        
python3-rfc3339                2.0.1-2                                deb                        
python3-setuptools             78.1.1-0.1build1                       deb                        
python3-six                    1.17.0-2build1                         deb                        
python3-socks                  1.7.1+dfsg-1build1                     deb                        
python3-sqlparse               0.5.4-1                                deb                        
python3-typeguard              4.4.4-2                                deb                        
python3-typing-extensions      4.15.0-2                               deb                        
python3-urllib3                2.6.3-1ubuntu1.1                       deb                        
python3-werkzeug               3.1.5-1                                deb                        
python3-wheel                  0.46.3-2                               deb                        
python3-wrapt                  2.1.1-1                                deb                        
python3-xmltodict              1.0.3-1                                deb                        
python3-yaml                   6.0.3-1build1                          deb                        
python3-zipp                   3.23.0-1build1                         deb                        
python3.14                     3.14.4-1                               deb                        
python3.14-minimal             3.14.4-1                               deb                        
pytz                           2025.2                                 python                     
pyyaml                         6.0.3                                  python                     
readline-common                8.3-4                                  deb                        
requests                       2.32.5                                 python                     
requests-gssapi                1.2.3                                  python                     
requests-ntlm                  1.3.0                                  python                     
requests-pkcs12                1.27                                   python                     
rust-coreutils                 0.8.0-0ubuntu3                         deb                        
sed                            4.9-2ubuntu1                           deb                        
sensible-utils                 0.0.26build1                           deb                        
setuptools                     78.1.1                                 python                     
six                            1.17.0                                 python                     
sqlparse                       0.5.4                                  python                     
stdlib                         go1.26.3                               go-module                  
supervisor                     4.3.0                                  python                     
supervisor                     4.3.0-1                                deb                        
sysvinit-utils                 3.15-5ubuntu1                          deb                        
tar                            1.35+dfsg-4ubuntu0.1                   deb                        
tomli                          2.0.1                                  python                     
typeguard                      4.3.0                                  python                     
typeguard                      4.4.4                                  python                     
typing-extensions              4.12.2                                 python                     
typing-extensions              4.15.0                                 python                     
tzdata                         2026a-3ubuntu1                         deb                        
ubuntu-keyring                 2023.11.28.1build1                     deb                        
unixodbc                       2.3.14-1                               deb                        
unixodbc-common                2.3.14-1                               deb                        
urllib3                        2.6.3                                  python                     
util-linux                     2.41.3-3ubuntu2                        deb                        
uwsgi                          2.0.31-2                               deb                        
uwsgi-core                     2.0.31-2                               deb                        
uwsgi-plugin-python3           2.0.31+3+0.0.2build4                   deb                        
werkzeug                       3.1.5                                  python                     
wheel                          0.45.1                                 python                     
wheel                          0.46.3                                 python                     
wrapt                          2.1.1                                  python                     
xmltodict                      1.0.3                                  python                     
zipp                           3.19.2                                 python                     
zipp                           3.23.0                                 python                     
zlib1g                         1:1.3.dfsg+really1.3.1-1ubuntu3        deb
